Data,Algoritmo,Implementacao,N,Iteracoes,Run,Ciclos_CPU,Ciclos_por_iter,Memoria_KB,Freq_GHz
"2026-05-31 18:53:19.482419Z","Factorial","Normal",10,10000,1,56292864,5629.29,0.1,4.6911
"2026-05-31 18:53:19.492070Z","Factorial","Normal",10,10000,2,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.492808Z","Factorial","Normal",10,10000,3,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.493533Z","Factorial","Normal",10,10000,4,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.494487Z","Factorial","Normal",10,10000,5,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.495285Z","Factorial","Normal",10,10000,6,9382144,938.21,0.1,4.6911
"2026-05-31 18:53:19.496598Z","Factorial","Normal",10,10000,7,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.497259Z","Factorial","Normal",10,10000,8,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.498180Z","Factorial","Normal",10,10000,9,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.498991Z","Factorial","Normal",10,10000,10,4691072,469.11,0.1,4.6911
"2026-05-31 18:53:19.499998Z","Factorial","Normal",10,30000,1,4691072,156.37,0.1,4.6911
"2026-05-31 18:53:19.501493Z","Factorial","Normal",10,30000,2,9382144,312.74,0.1,4.6911
"2026-05-31 18:53:19.502927Z","Factorial","Normal",10,30000,3,4691072,156.37,0.1,4.6911
"2026-05-31 18:53:19.504251Z","Factorial","Normal",10,30000,4,4691072,156.37,0.1,4.6911
"2026-05-31 18:53:19.505654Z","Factorial","Normal",10,30000,5,9382144,312.74,0.1,4.6911
"2026-05-31 18:53:19.507165Z","Factorial","Normal",10,30000,6,9382144,312.74,0.1,4.6911
"2026-05-31 18:53:19.508553Z","Factorial","Normal",10,30000,7,9382144,312.74,0.1,4.6911
"2026-05-31 18:53:19.509904Z","Factorial","Normal",10,30000,8,9382144,312.74,0.1,4.6911
"2026-05-31 18:53:19.511453Z","Factorial","Normal",10,30000,9,4691072,156.37,0.1,4.6911
"2026-05-31 18:53:19.512893Z","Factorial","Normal",10,30000,10,4691072,156.37,0.1,4.6911
"2026-05-31 18:53:19.514228Z","Factorial","Normal",10,100000,1,18764288,187.64,0.1,4.6911
"2026-05-31 18:53:19.518100Z","Factorial","Normal",10,100000,2,18764288,187.64,0.1,4.6911
"2026-05-31 18:53:19.522360Z","Factorial","Normal",10,100000,3,18764288,187.64,0.1,4.6911
"2026-05-31 18:53:19.526676Z","Factorial","Normal",10,100000,4,14073216,140.73,0.1,4.6911
"2026-05-31 18:53:19.530514Z","Factorial","Normal",10,100000,5,18764288,187.64,0.1,4.6911
"2026-05-31 18:53:19.534531Z","Factorial","Normal",10,100000,6,18764288,187.64,0.1,4.6911
"2026-05-31 18:53:19.538358Z","Factorial","Normal",10,100000,7,18764288,187.64,0.1,4.6911
"2026-05-31 18:53:19.542657Z","Factorial","Normal",10,100000,8,18764288,187.64,0.1,4.6911
