Data,Algoritmo,Implementacao,N,Iteracoes,Run,Ciclos_CPU,Ciclos_por_iter,Memoria_KB,Freq_GHz
"2026-05-31T18:55:37.690Z","Factorial","Normal",10,10000,1,26443573,2644.36,344.2,4.6911
"2026-05-31T18:55:37.702Z","Factorial","Normal",10,10000,2,15888661,1588.87,-480.4,4.6911
"2026-05-31T18:55:37.704Z","Factorial","Normal",10,10000,3,14359371,1435.94,541.6,4.6911
"2026-05-31T18:55:37.706Z","Factorial","Normal",10,10000,4,16221727,1622.17,-482.3,4.6911
"2026-05-31T18:55:37.708Z","Factorial","Normal",10,10000,5,14997357,1499.74,-222.3,4.6911
"2026-05-31T18:55:37.710Z","Factorial","Normal",10,10000,6,11000564,1100.06,476.6,4.6911
"2026-05-31T18:55:37.712Z","Factorial","Normal",10,10000,7,5305602,530.56,-586.1,4.6911
"2026-05-31T18:55:37.713Z","Factorial","Normal",10,10000,8,5033520,503.35,437.3,4.6911
"2026-05-31T18:55:37.714Z","Factorial","Normal",10,10000,9,5788783,578.88,437.4,4.6911
"2026-05-31T18:55:37.716Z","Factorial","Normal",10,10000,10,10531457,1053.15,438.4,4.6911
"2026-05-31T18:55:37.718Z","Factorial","Normal",10,30000,1,13177221,439.24,52.4,4.6911
"2026-05-31T18:55:37.721Z","Factorial","Normal",10,30000,2,12900448,430.01,238.6,4.6911
"2026-05-31T18:55:37.724Z","Factorial","Normal",10,30000,3,25979157,865.97,-1809.4,4.6911
"2026-05-31T18:55:37.727Z","Factorial","Normal",10,30000,4,26058905,868.63,255.9,4.6911
"2026-05-31T18:55:37.730Z","Factorial","Normal",10,30000,5,11948160,398.27,1132.3,4.6911
"2026-05-31T18:55:37.732Z","Factorial","Normal",10,30000,6,11549419,384.98,-916.6,4.6911
"2026-05-31T18:55:37.735Z","Factorial","Normal",10,30000,7,13181912,439.40,1111.0,4.6911
"2026-05-31T18:55:37.738Z","Factorial","Normal",10,30000,8,12431341,414.38,-915.1,4.6911
"2026-05-31T18:55:37.741Z","Factorial","Normal",10,30000,9,11502509,383.42,1110.9,4.6911
"2026-05-31T18:55:37.743Z","Factorial","Normal",10,30000,10,11399305,379.98,-905.2,4.6911
"2026-05-31T18:55:37.746Z","Factorial","Normal",10,100000,1,35314390,353.14,234.5,4.6911
"2026-05-31T18:55:37.753Z","Factorial","Normal",10,100000,2,36337044,363.37,254.7,4.6911
"2026-05-31T18:55:37.761Z","Factorial","Normal",10,100000,3,37036013,370.36,234.6,4.6911
"2026-05-31T18:55:37.769Z","Factorial","Normal",10,100000,4,34967251,349.67,234.5,4.6911
"2026-05-31T18:55:37.777Z","Factorial","Normal",10,100000,5,33315993,333.16,-1813.3,4.6911
"2026-05-31T18:55:37.784Z","Factorial","Normal",10,100000,6,36116563,361.17,234.4,4.6911
"2026-05-31T18:55:37.792Z","Factorial","Normal",10,100000,7,36079035,360.79,254.6,4.6911
"2026-05-31T18:55:37.800Z","Factorial","Normal",10,100000,8,36412101,364.12,254.7,4.6911
"2026-05-31T18:55:37.807Z","Factorial","Normal",10,100000,9,36519996,365.20,234.2,4.6911
"2026-05-31T18:55:37.815Z","Factorial","Normal",10,100000,10,33564620,335.65,240.1,4.6911
"2026-05-31T18:55:37.823Z","Factorial","Normal",10,300000,1,103283332,344.28,655.5,4.6911
"2026-05-31T18:55:37.845Z","Factorial","Normal",10,300000,2,105994772,353.32,-1392.0,4.6911
"2026-05-31T18:55:37.867Z","Factorial","Normal",10,300000,3,97963657,326.55,655.4,4.6911
"2026-05-31T18:55:37.888Z","Factorial","Normal",10,300000,4,97869835,326.23,655.6,4.6911
"2026-05-31T18:55:37.909Z","Factorial","Normal",10,300000,5,102884591,342.95,-1392.2,4.6911
"2026-05-31T18:55:37.931Z","Factorial","Normal",10,300000,6,102279443,340.93,655.6,4.6911
"2026-05-31T18:55:37.953Z","Factorial","Normal",10,300000,7,104995574,349.99,655.5,4.6911
"2026-05-31T18:55:37.976Z","Factorial","Normal",10,300000,8,98564114,328.55,-1392.1,4.6911
"2026-05-31T18:55:37.997Z","Factorial","Normal",10,300000,9,97846380,326.15,675.8,4.6911
"2026-05-31T18:55:38.018Z","Factorial","Normal",10,300000,10,105811820,352.71,655.6,4.6911
"2026-05-31T18:55:38.040Z","Factorial","Normal",10,1000000,1,336955011,336.96,81.7,4.6911
"2026-05-31T18:55:38.112Z","Factorial","Normal",10,1000000,2,345342647,345.34,81.8,4.6911
"2026-05-31T18:55:38.186Z","Factorial","Normal",10,1000000,3,338836131,338.84,82.0,4.6911
"2026-05-31T18:55:38.259Z","Factorial","Normal",10,1000000,4,339821256,339.82,-1964.5,4.6911
"2026-05-31T18:55:38.331Z","Factorial","Normal",10,1000000,5,339422515,339.42,81.7,4.6911
"2026-05-31T18:55:38.404Z","Factorial","Normal",10,1000000,6,334130985,334.13,81.5,4.6911
"2026-05-31T18:55:38.475Z","Factorial","Normal",10,1000000,7,341252033,341.25,101.9,4.6911
"2026-05-31T18:55:38.548Z","Factorial","Normal",10,1000000,8,340801690,340.80,81.5,4.6911
"2026-05-31T18:55:38.621Z","Factorial","Normal",10,1000000,9,348480975,348.48,82.5,4.6911
"2026-05-31T18:55:38.695Z","Factorial","Normal",10,1000000,10,342607752,342.61,102.1,4.6911
"2026-05-31T18:55:38.768Z","Factorial","Loop/Tail",10,10000,1,18548499,1854.85,693.4,4.6911
"2026-05-31T18:55:38.771Z","Factorial","Loop/Tail",10,10000,2,23957305,2395.73,669.5,4.6911
"2026-05-31T18:55:38.773Z","Factorial","Loop/Tail",10,10000,3,20589115,2058.91,-667.4,4.6911
"2026-05-31T18:55:38.776Z","Factorial","Loop/Tail",10,10000,4,7693358,769.34,132.9,4.6911
"2026-05-31T18:55:38.777Z","Factorial","Loop/Tail",10,10000,5,7918530,791.85,153.1,4.6911
"2026-05-31T18:55:38.779Z","Factorial","Loop/Tail",10,10000,6,7749651,774.97,153.1,4.6911
"2026-05-31T18:55:38.781Z","Factorial","Loop/Tail",10,10000,7,8190612,819.06,132.8,4.6911
"2026-05-31T18:55:38.783Z","Factorial","Loop/Tail",10,10000,8,7435349,743.53,153.1,4.6911
"2026-05-31T18:55:38.784Z","Factorial","Loop/Tail",10,10000,9,8739467,873.95,-1915.0,4.6911
"2026-05-31T18:55:38.786Z","Factorial","Loop/Tail",10,10000,10,8988094,898.81,153.0,4.6911
"2026-05-31T18:55:38.788Z","Factorial","Loop/Tail",10,30000,1,20955019,698.50,349.6,4.6911
"2026-05-31T18:55:38.793Z","Factorial","Loop/Tail",10,30000,2,46272734,1542.42,349.6,4.6911
"2026-05-31T18:55:38.798Z","Factorial","Loop/Tail",10,30000,3,22629731,754.32,350.1,4.6911
"2026-05-31T18:55:38.803Z","Factorial","Loop/Tail",10,30000,4,24079273,802.64,365.1,4.6911
"2026-05-31T18:55:38.808Z","Factorial","Loop/Tail",10,30000,5,21480419,716.01,344.7,4.6911
"2026-05-31T18:55:38.813Z","Factorial","Loop/Tail",10,30000,6,20523440,684.11,-1703.2,4.6911
"2026-05-31T18:55:38.818Z","Factorial","Loop/Tail",10,30000,7,22526528,750.88,344.7,4.6911
"2026-05-31T18:55:38.823Z","Factorial","Loop/Tail",10,30000,8,21297467,709.92,365.0,4.6911
"2026-05-31T18:55:38.827Z","Factorial","Loop/Tail",10,30000,9,20453074,681.77,344.8,4.6911
"2026-05-31T18:55:38.832Z","Factorial","Loop/Tail",10,30000,10,21170808,705.69,344.8,4.6911
"2026-05-31T18:55:38.836Z","Factorial","Loop/Tail",10,100000,1,72993080,729.93,-954.6,4.6911
"2026-05-31T18:55:38.852Z","Factorial","Loop/Tail",10,100000,2,72950861,729.51,1093.3,4.6911
"2026-05-31T18:55:38.867Z","Factorial","Loop/Tail",10,100000,3,68180040,681.80,-934.2,4.6911
"2026-05-31T18:55:38.882Z","Factorial","Loop/Tail",10,100000,4,67349721,673.50,1093.3,4.6911
"2026-05-31T18:55:38.897Z","Factorial","Loop/Tail",10,100000,5,66852467,668.52,-934.2,4.6911
"2026-05-31T18:55:38.911Z","Factorial","Loop/Tail",10,100000,6,71032212,710.32,-954.6,4.6911
"2026-05-31T18:55:38.926Z","Factorial","Loop/Tail",10,100000,7,75606007,756.06,1113.4,4.6911
"2026-05-31T18:55:38.942Z","Factorial","Loop/Tail",10,100000,8,65431072,654.31,1113.3,4.6911
"2026-05-31T18:55:38.956Z","Factorial","Loop/Tail",10,100000,9,67954869,679.55,1113.3,4.6911
