Data,Algoritmo,Implementacao,N,Iteracoes,Run,Ciclos_CPU,Ciclos_por_iter,Memoria_KB,Freq_GHz
"2026-05-31 18:26:46","Factorial","Normal",10,10000,1,506636,50.66,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Normal",10,10000,2,633295,63.33,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Normal",10,100000,1,4484665,44.85,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Normal",10,100000,2,4770820,47.71,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",10,10000,1,295538,29.55,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",10,10000,2,290846,29.08,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",10,100000,1,2683293,26.83,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",10,100000,2,2566016,25.66,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Normal",1000,200,1,1627802,8139.01,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Normal",1000,200,2,1609038,8045.19,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Normal",1000,1000,1,7937294,7937.29,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Normal",1000,1000,2,8448621,8448.62,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",1000,200,1,928832,4644.16,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",1000,200,2,928832,4644.16,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",1000,1000,1,4578486,4578.49,1.3,4.6911
"2026-05-31 18:26:46","Factorial","Tail (acc)",1000,1000,2,4475283,4475.28,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Normal",1000,10000,1,14167037,1416.70,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Normal",1000,10000,2,14068525,1406.85,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Normal",1000,100000,1,142270832,1422.71,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Normal",1000,100000,2,142960419,1429.60,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Tail",1000,10000,1,14082598,1408.26,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Tail",1000,10000,2,16695525,1669.55,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Tail",1000,100000,1,140919803,1409.20,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Even)","Tail",1000,100000,2,141820489,1418.20,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Normal",1000,10000,1,14218639,1421.86,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Normal",1000,10000,2,15208455,1520.85,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Normal",1000,100000,1,140455387,1404.55,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Normal",1000,100000,2,140164540,1401.65,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Tail",1000,10000,1,17033282,1703.33,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Tail",1000,10000,2,14054452,1405.45,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Tail",1000,100000,1,141651610,1416.52,1.3,4.6911
"2026-05-31 18:26:46","Mutually Rec (Odd)","Tail",1000,100000,2,140544517,1405.45,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Normal",999,10000,1,15372643,1537.26,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Normal",999,10000,2,15536830,1553.68,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Normal",999,100000,1,155856176,1558.56,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Normal",999,100000,2,155133751,1551.34,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Tail",999,10000,1,18041863,1804.19,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Tail",999,10000,2,15611888,1561.19,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Tail",999,100000,1,157174367,1571.74,1.3,4.6911
"2026-05-31 18:26:46","State Machine","Tail",999,100000,2,156208007,1562.08,1.3,4.6911
