Data,Algoritmo,Implementacao,N,Iteracoes,Run,Ciclos_CPU,Ciclos_por_iter,Memoria_KB,Freq_GHz
"2026-05-31 17:07:49","Factorial","Normal",10,10000,1,51900130,5190.01,5.5,4.6911
"2026-05-31 17:07:49","Factorial","Normal",10,10000,2,49872738,4987.27,37.8,4.6911
"2026-05-31 17:07:49","Factorial","Normal",10,100000,1,482526603,4825.27,38.4,4.6911
"2026-05-31 17:07:49","Factorial","Normal",10,100000,2,500551235,5005.51,38.4,4.6911
"2026-05-31 17:07:49","Factorial","Loop/Tail",10,10000,1,39435018,3943.50,1.3,4.6911
"2026-05-31 17:07:49","Factorial","Loop/Tail",10,10000,2,38932928,3893.29,0.5,4.6911
"2026-05-31 17:07:49","Factorial","Loop/Tail",10,100000,1,389004106,3890.04,34.1,4.6911
"2026-05-31 17:07:49","Factorial","Loop/Tail",10,100000,2,397387324,3973.87,34.1,4.6911
"2026-05-31 17:07:50","Factorial","Normal",1000,200,1,4646508139,23232540.69,534.8,4.6911
"2026-05-31 17:07:51","Factorial","Normal",1000,200,2,4926855608,24634278.04,537.3,4.6911
"2026-05-31 17:07:58","Factorial","Normal",1000,1000,1,29247108276,29247108.28,573.9,4.6911
"2026-05-31 17:08:04","Factorial","Normal",1000,1000,2,30836077200,30836077.20,571.4,4.6911
"2026-05-31 17:08:04","Factorial","Loop/Tail",1000,200,1,222988564,1114942.82,144.5,4.6911
"2026-05-31 17:08:04","Factorial","Loop/Tail",1000,200,2,207991845,1039959.22,35.8,4.6911
"2026-05-31 17:08:04","Factorial","Loop/Tail",1000,1000,1,1060199469,1060199.47,147.3,4.6911
"2026-05-31 17:08:05","Factorial","Loop/Tail",1000,1000,2,1051386869,1051386.87,147.1,4.6911
"2026-05-31 17:08:45","Mutually Rec (Even)","Normal",1000,10000,1,190659930052,19065993.01,742.6,4.6911
"2026-05-31 17:09:25","Mutually Rec (Even)","Normal",1000,10000,2,191894804317,19189480.43,731.3,4.6911
"2026-05-31 17:10:25","Mutually Rec (Even)","Normal",1000,100000,1,"TIMEOUT","","",4.6911
"2026-05-31 17:11:25","Mutually Rec (Even)","Normal",1000,100000,2,"TIMEOUT","","",4.6911
"2026-05-31 17:11:27","Mutually Rec (Even)","Loop",1000,10000,1,7739818359,773981.84,861.8,4.6911
"2026-05-31 17:11:29","Mutually Rec (Even)","Loop",1000,10000,2,8022261982,802226.20,855.7,4.6911
"2026-05-31 17:11:45","Mutually Rec (Even)","Loop",1000,100000,1,76053281760,760532.82,872.2,4.6911
"2026-05-31 17:12:01","Mutually Rec (Even)","Loop",1000,100000,2,77633978429,776339.78,871.5,4.6911
"2026-05-31 17:13:02","Mutually Rec (Odd)","Normal",1000,10000,1,"TIMEOUT","","",4.6911
"2026-05-31 17:13:36","Mutually Rec (Odd)","Normal",1000,10000,2,162906446425,16290644.64,0.0,4.6911
"2026-05-31 17:14:36","Mutually Rec (Odd)","Normal",1000,100000,1,"TIMEOUT","","",4.6911
"2026-05-31 17:15:36","Mutually Rec (Odd)","Normal",1000,100000,2,"TIMEOUT","","",4.6911
"2026-05-31 17:15:40","Mutually Rec (Odd)","Loop",1000,10000,1,13436762467,1343676.25,1608.4,4.6911
"2026-05-31 17:15:43","Mutually Rec (Odd)","Loop",1000,10000,2,13740985818,1374098.58,1590.6,4.6911
"2026-05-31 17:16:11","Mutually Rec (Odd)","Loop",1000,100000,1,132309213316,1323092.13,1639.5,4.6911
"2026-05-31 17:16:39","Mutually Rec (Odd)","Loop",1000,100000,2,131906230060,1319062.30,1659.2,4.6911
"2026-05-31 17:17:40","State Machine","Normal",999,10000,1,"TIMEOUT","","",4.6911
"2026-05-31 17:18:40","State Machine","Normal",999,10000,2,"TIMEOUT","","",4.6911
"2026-05-31 17:19:41","State Machine","Normal",999,100000,1,"TIMEOUT","","",4.6911
"2026-05-31 17:20:07","State Machine","Normal",999,100000,2,120167150882,1201671.51,0.0,4.6911
"2026-05-31 17:20:08","State Machine","Loop",999,10000,1,7686120750,768612.08,453.6,4.6911
"2026-05-31 17:20:10","State Machine","Loop",999,10000,2,7221695709,722169.57,453.2,4.6911
"2026-05-31 17:20:26","State Machine","Loop",999,100000,1,76144461207,761444.61,490.7,4.6911
"2026-05-31 17:20:42","State Machine","Loop",999,100000,2,74179557654,741795.58,526.3,4.6911
