Data,Algoritmo,Implementacao,N,Iteracoes,Run,Ciclos_CPU,Ciclos_por_iter,Memoria_KB,Freq_GHz
"2026-05-31 19:30:47","Factorial","Normal",10,10000,1,19866160,1986.62,1.3,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,2,9765015,976.50,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,3,10223211,1022.32,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,4,10047333,1004.73,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,5,9694218,969.42,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,6,10574281,1057.43,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,7,10094657,1009.47,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,8,10090688,1009.07,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,9,10306961,1030.70,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,10000,10,9836301,983.63,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,1,30799524,1026.65,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,2,29372650,979.09,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,3,28825666,960.86,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,4,30746323,1024.88,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,5,28095515,936.52,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,6,29488651,982.96,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,7,28157137,938.57,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,8,30143966,1004.80,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,9,30843916,1028.13,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,30000,10,28267302,942.24,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,1,94105264,941.05,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,2,95868399,958.68,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,3,94543391,945.43,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,4,98180980,981.81,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,5,93870663,938.71,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,6,97172123,971.72,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,7,95894988,958.95,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,8,94155219,941.55,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,9,96256355,962.56,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,100000,10,95330225,953.30,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,300000,1,280138238,933.79,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,300000,2,281051271,936.84,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,300000,3,279943512,933.15,0.1,4.6911
"2026-05-31 19:30:47","Factorial","Normal",10,300000,4,279245523,930.82,0.1,4.6911
