Data,Algoritmo,Implementacao,N,Iteracoes,Run,Ciclos_CPU,Ciclos_por_iter,Memoria_KB,Freq_GHz
"2026-05-31T18:26:18","Factorial","Normal",10,10000,1,0,0,14.8,4.6911
"2026-05-31T18:26:18","Factorial","Normal",10,10000,2,4691072,469.11,14.2,4.6911
"2026-05-31T18:26:18","Factorial","Normal",10,100000,1,9382144,93.82,24.3,4.6911
"2026-05-31T18:26:18","Factorial","Normal",10,100000,2,9382144,93.82,24.3,4.6911
"2026-05-31T18:26:18","Factorial","Tail (acc)",10,10000,1,4691072,469.11,14.2,4.6911
"2026-05-31T18:26:18","Factorial","Tail (acc)",10,10000,2,0,0,14.1,4.6911
"2026-05-31T18:26:18","Factorial","Tail (acc)",10,100000,1,0,0,23.2,4.6911
"2026-05-31T18:26:18","Factorial","Tail (acc)",10,100000,2,4691072,46.91,23.2,4.6911
"2026-05-31T18:26:18","Factorial","Normal",1000,200,1,140732160,703660.8,101631.3,4.6911
"2026-05-31T18:26:18","Factorial","Normal",1000,200,2,140732160,703660.8,101627.6,4.6911
"2026-05-31T18:26:18","Factorial","Normal",1000,1000,1,713042944,713042.94,508041.7,4.6911
"2026-05-31T18:26:18","Factorial","Normal",1000,1000,2,713042944,713042.94,508003,4.6911
"2026-05-31T18:26:19","Factorial","Tail (acc)",1000,200,1,136041088,680205.44,116427.9,4.6911
"2026-05-31T18:26:19","Factorial","Tail (acc)",1000,200,2,136041088,680205.44,116363.9,4.6911
"2026-05-31T18:26:19","Factorial","Tail (acc)",1000,1000,1,694278656,694278.66,581884.6,4.6911
"2026-05-31T18:26:19","Factorial","Tail (acc)",1000,1000,2,689587584,689587.58,581884.6,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Normal",1000,10000,1,18764288,1876.43,58.6,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Normal",1000,10000,2,14073216,1407.32,58.5,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Normal",1000,100000,1,173569664,1735.7,468.2,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Normal",1000,100000,2,173569664,1735.7,468.2,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Tail",1000,10000,1,23455360,2345.54,122.8,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Tail",1000,10000,2,18764288,1876.43,58.5,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Tail",1000,100000,1,173569664,1735.7,468.2,4.6911
"2026-05-31T18:26:19","Mutually Rec (Even)","Tail",1000,100000,2,173569664,1735.7,468.2,4.6911
"2026-05-31T18:26:19","Mutually Rec (Odd)","Normal",1000,10000,1,14073216,1407.32,58.6,4.6911
"2026-05-31T18:26:19","Mutually Rec (Odd)","Normal",1000,10000,2,14073216,1407.32,58.5,4.6911
"2026-05-31T18:26:19","Mutually Rec (Odd)","Normal",1000,100000,1,154805376,1548.05,531.2,4.6911
"2026-05-31T18:26:19","Mutually Rec (Odd)","Normal",1000,100000,2,154805376,1548.05,467.3,4.6911
"2026-05-31T18:26:19","Mutually Rec (Odd)","Tail",1000,10000,1,14073216,1407.32,58.6,4.6911
"2026-05-31T18:26:20","Mutually Rec (Odd)","Tail",1000,10000,2,14073216,1407.32,58.5,4.6911
"2026-05-31T18:26:20","Mutually Rec (Odd)","Tail",1000,100000,1,145423232,1454.23,467.3,4.6911
"2026-05-31T18:26:20","Mutually Rec (Odd)","Tail",1000,100000,2,154805376,1548.05,531.2,4.6911
"2026-05-31T18:26:20","State Machine","Normal",999,10000,1,18764288,1876.43,43.2,4.6911
"2026-05-31T18:26:20","State Machine","Normal",999,10000,2,18764288,1876.43,43.1,4.6911
"2026-05-31T18:26:20","State Machine","Normal",999,100000,1,168878592,1688.79,316.8,4.6911
"2026-05-31T18:26:20","State Machine","Normal",999,100000,2,164187520,1641.88,316.8,4.6911
"2026-05-31T18:26:20","State Machine","Tail",999,10000,1,14073216,1407.32,43.2,4.6911
"2026-05-31T18:26:20","State Machine","Tail",999,10000,2,14073216,1407.32,43.1,4.6911
"2026-05-31T18:26:20","State Machine","Tail",999,100000,1,150114304,1501.14,316.8,4.6911
"2026-05-31T18:26:20","State Machine","Tail",999,100000,2,154805376,1548.05,380.8,4.6911
