Data,Algoritmo,Implementacao,N,Iteracoes,Tempo_ms,Memoria_KB
"2026-04-27 23:10:56.391323Z","Factorial","Normal",10,500000,24.0,7.6
"2026-04-27 23:10:56.413138Z","Factorial","Tail (acc)",10,500000,18.0,0.3
"2026-04-27 23:10:57.321121Z","Factorial","Normal",1000,10000,907.0,4888049.4
"2026-04-27 23:10:58.265065Z","Factorial","Tail (acc)",1000,10000,943.0,5757485.2
"2026-04-27 23:10:58.746008Z","Mutually Rec (Even)","Normal",1000,500000,480.0,0.5
"2026-04-27 23:10:59.227510Z","Mutually Rec (Even)","Tail",1000,500000,481.0,0.3
"2026-04-27 23:10:59.699367Z","Mutually Rec (Odd)","Normal",1000,500000,472.0,0.4
"2026-04-27 23:11:00.185878Z","Mutually Rec (Odd)","Tail",1000,500000,486.0,0.2
"2026-04-27 23:11:00.839559Z","State Machine","Normal",999,500000,653.0,0.4
"2026-04-27 23:11:01.309570Z","State Machine","Tail",999,500000,470.0,0.3
